PRES,TEMP,THCK,SWAT,POROM,POROF,PERMM,PERMF,FRACS,VLCH4,PLCH4,VLCO2,PLCO2,QINJ,QPROD,TPROD,PWFPROD,PFRAC,LX,LY,LWELL,LFRAC,SRVPORO,SRVPERM,SRVSPAC,T1,TINJ,Gi
5676.7,193.3,255.4,12.1,5.4,1.09,9.90E-05,0.000619,2.89,171,408.1,872.2,707.4,150,8540.04,9107.9,187.34,5788.2,3894.5,436.81,2826.6,279.1,1.51,0.0058,1.371,17.68819107,12037.28333,2248187.754
4326.8,192.1,277.2,11.9,6.97,1.4,6.98E-05,0.000762,2.76,217.8,724.4,911.6,330.2,150,6380.32,12710.1,1998.83,4846.5,6311.6,1257.2,4140.7,792.3,1.73,0.0076,1.74,17.85708122,16008.16667,2418790.17
4881.1,155.6,287,6.5,9.19,0.79,7.17E-05,0.001059,2.22,182.5,250.2,799.7,523.1,150,11373.1,12544.8,1000.19,6466.5,6985.4,947.54,4611.9,657.3,1.09,0.0067,1.416,17.66067658,16966.91667,2591107.767
7397.7,159.2,231.4,13.8,9.09,1.01,9.89E-05,0.000642,2.32,156.9,576.8,659.1,822.1,150,1993.91,13202.6,3451.74,9337.1,5525.6,654.77,3821.5,473.8,1.3,0.0013,1.704,18.93967817,14375.16667,2148563.264
3021.9,172.5,117.9,11.3,7.79,1.08,1.31E-05,0.000449,2.23,87.6,376.8,434.2,371.7,150,2988.14,15528.3,558.13,3912,3584,670.34,2800.3,514.6,1.55,0.0047,1.2,18.7797932,16143.66667,2397204.711
6898.8,152.2,152.1,11.3,6.49,1.18,1.67E-05,0.000595,1.13,196.5,964.4,575.6,547.4,150,16068.8,8777.8,2389.47,7696.6,7350.1,1549.48,4901.2,889.4,1.47,0.0069,0.708,17.79597919,12665.1,2015547.32
6012.5,186.7,201.9,14,9.1,1.69,8.53E-05,0.000323,2.54,206.1,279.2,1145.8,624.1,150,3587.13,10797.5,1396.29,8445,4722,1051.06,3819.2,541.3,2.32,0.002,1.202,17.48071513,12436.16667,2072173.903
7753.1,199.2,235.9,8.8,6.96,1.2,5.20E-06,0.000499,2.19,139,922,329.5,475.7,150,9833.63,7941.2,2959.14,10053.1,5541.6,1029.45,4576.6,528.9,1.53,0.0046,1.289,17.68274005,11996.01667,2053376.208
5641.7,177.1,257.7,8.8,7.9,0.89,9.49E-05,0.00021,0.99,230.3,224.5,1072.5,900.9,150,1520.54,7604.1,1125.98,8419.5,4478.3,933.41,3009.6,492.2,1.13,0.0012,0.415,20.79786823,9371.483333,1750662.564
4192.2,193.8,150.6,13.3,7.44,1.8,7.19E-05,0.00098,2.25,240.7,539.2,1246.5,549.8,150,15110,10792.2,364,4691.7,5064.8,1194.94,4121.8,627.2,2.39,0.01,1.516,18.46245071,15559,2331338.894
6209.1,171.5,224.7,14,7.79,1.39,7.46E-05,0.001099,2.62,118.6,658.1,309.9,478.3,150,10043.6,13689.4,1513.03,8273,4683.2,745.43,2994.9,512.6,2.07,0.0071,1.488,18.74834347,16476.33333,2454385.755
4020.8,124.2,174.5,13.7,9.04,0.66,3.72E-06,0.000987,1.28,67.7,456.5,165.5,558.5,150,19875.8,9630.5,729.8,4809.6,7527.8,347.34,4920.2,227.2,0.95,0.0116,0.697,17.99032693,12935.58333,2262336.814
3125.2,124.7,250,13.5,8.54,1.46,6.62E-05,0.001001,2.81,90,578.6,429,787.2,150,11917.8,16577.2,627.86,4145.8,6839.9,696.44,4392,555.4,1.95,0.0119,1.654,18.54860032,20090.33333,2780162.099
4244.2,187.5,236.4,10.7,9.56,0.79,8.42E-05,0.000267,2,131.7,812,453.1,909.6,150,1679.24,12003.3,1643.31,6326.5,3412,789.65,2500.6,577.7,1.02,0.0028,0.866,19.69032364,12895.83333,2008241.571
5184.5,177.5,180.3,7.8,9.46,1.41,3.10E-05,0.00055,2.36,157.6,419.8,544.5,542.5,150,5717.07,11794.6,2552.96,6879.7,4842.3,1021.74,3702.3,573.7,2.01,0.0058,1.217,18.49717244,13724.33333,2121093.048
3171.3,162.1,265.8,8.1,7.97,1.97,9.31E-05,0.001083,1.69,229.9,845.2,608.7,409.6,150,2151.8,9194.4,1357.21,4175.9,4011.8,1585.7,2729.7,931.5,2.89,0.0053,1.345,17.51761591,11197.73333,2312160.125
4535.2,170,193.2,5.6,6.38,0.7,9.30E-05,0.000662,1.86,241.5,202.7,637.8,257.8,150,6854.12,12811.4,2015.56,6789.5,4356,1016.65,3568.4,533.8,1,0.0077,1.264,17.59811303,14414.83333,2350940.826
5203.5,144.7,119.7,8.7,5.61,1.96,7.24E-05,0.000534,1.94,101.8,681.9,220.5,468.9,150,3989.81,12017.2,2017.77,5851,6876.8,1063.5,4811.1,725.8,2.83,0.0024,0.877,19.27330942,13096.83333,2044711.035
3129.1,151.6,203.4,9.4,5.57,1.83,6.37E-05,0.000251,2.67,215.5,734.1,1052.1,629.5,150,1755.72,15668.8,285.5,3624.5,6894.6,1059.33,4790.7,681.1,2.51,0.0015,1.289,20.26972412,16549.5,2496340.106
7729.5,169.1,271.4,5.8,7.96,1.18,6.31E-05,0.000857,2.08,82.1,226.4,440.5,430.9,150,14698.2,8958.9,871.76,9801.2,3981.6,1564.98,2581.7,981.5,1.7,0.0087,1.432,17.22335349,13173.53333,2230418.827
3586.9,182.9,290.6,11.7,9.48,1,6.83E-05,0.000875,1.08,101.4,410.6,226.9,681.7,150,5006.99,13388.7,991.77,5101.7,6367.3,530.38,4036.2,278.7,1.27,0.0058,0.698,18.760572,16294.83333,2477479.644
7845.1,123.4,159.7,6.2,6.87,0.66,4.59E-05,0.000838,2.55,94.4,540.1,559.8,694.4,150,15306.6,17226.8,1352.81,9954.9,5919.7,1327.56,4001.7,716.9,0.94,0.0056,1.156,18.1399842,18469.83333,2759208.119
